video protocol: MPEG2
revision pre-S
AVD CRC a069b0cc 137af179 c00ef411; 0 0 0
AVD CRC 7f9b0a33 53a6c806 9301358b; 0 0 0
AVD CRC 131cc413 2b739c7a 163c0a59; 0 0 0
AVD CRC 1f39f00b c8fa1d73 6c1ea79c; 0 0 0
AVD CRC e0a1b8ff 556fc4f8 613bbc94; 0 0 0
AVD CRC c635c5c8 2be7970b 9dd0e444; 0 0 0
AVD CRC e2b9b28 f100894c a33d8a31; 0 0 0
AVD CRC 44583514 a3d7e2da 613eacf2; 0 0 0
AVD CRC abffba2b 3014b9f3 112af831; 0 0 0
AVD CRC 7807d8fc 409a7b82 118247c3; 0 0 0
AVD CRC 1c15316e 8982f1fd 5e697c6b; 0 0 0
AVD CRC 2f7ce21f fa4ef242 68d6b381; 0 0 0
AVD CRC e73745a6 294fcb0a fb6b06b9; 0 0 0
AVD CRC b11d63ff 21a1f42e 2aa94697; 0 0 0
AVD CRC b43aa4c2 304b663 40b1e7a2; 0 0 0
AVD CRC 9843923e 1df08ae5 20cee278; 0 0 0
AVD CRC cbc91083 cc419967 cb569a50; 0 0 0
AVD CRC 83fd986e d14f4ab4 73e59037; 0 0 0
AVD CRC 8362d67e a40def75 f6cbad5f; 0 0 0
AVD CRC 7b1aa0c5 c90febd4 a00ddb3a; 0 0 0
AVD CRC 53ebfdcb 67fa9af 2aaca65f; 0 0 0
AVD CRC acdcedc 98ec411b 77652ed9; 0 0 0
AVD CRC 1a61d6d1 5ae3087b f0d912bd; 0 0 0
AVD CRC 32041564 fd82306e 3636adf2; 0 0 0
AVD CRC 111f3ce4 aeb0ad2 b52f6053; 0 0 0
AVD CRC c52806e a8b66621 d6ea59f3; 0 0 0
AVD CRC 468cc31f cb270022 7d4379f0; 0 0 0
AVD CRC 18dbaa6c 6303913d 6cfd65ae; 0 0 0
AVD CRC 16962219 deb4712b c44756af; 0 0 0
AVD CRC 4067b202 234f2550 e381afbf; 0 0 0
AVD CRC 99434d7a e0df701f 187e4375; 0 0 0
AVD CRC b3ff5f44 55d9b9d1 e0a12688; 0 0 0
AVD CRC 7b66f1dd 790cf007 c34bbb7a; 0 0 0
AVD CRC aa334434 ca013596 b347b3f9; 0 0 0
AVD CRC 25013c2f 532bfc1b fca9bc36; 0 0 0
AVD CRC af59f87f 7b358896 77be9319; 0 0 0
AVD CRC b8d76a28 2f9fd2 2bac12ba; 0 0 0
AVD CRC 7ee98414 a986e63d f5b76860; 0 0 0
AVD CRC d1bea0e5 8d79b9c5 8d7f1bc9; 0 0 0
AVD CRC 9847688d 7d75dd67 87049f88; 0 0 0
AVD CRC bc6b0931 f1353442 8264f813; 0 0 0
AVD CRC 37d0e804 a7256baf 8fa8cb4b; 0 0 0
AVD CRC f6116519 b67311d9 82760abb; 0 0 0
AVD CRC 4d449ce0 ec732d80 75ab459c; 0 0 0
AVD CRC 65961f76 c4167fcc 68a3e919; 0 0 0
AVD CRC d7efbf76 ddd6f694 b1159fbb; 0 0 0
AVD CRC 389b419d 682259cb fd366338; 0 0 0
AVD CRC 407aa2b0 367bd9ff 54b65e1d; 0 0 0
AVD CRC 3c6f415b c62ffcfe 7ca829; 0 0 0
AVD CRC 2ec7090 d6eceef8 40894d8a; 0 0 0
AVD CRC fef7fa52 b41853e4 28c6b1e6; 0 0 0
AVD CRC 2400c00c 7ad12c33 30e938cd; 0 0 0
AVD CRC 716d3265 f903dbf d7615736; 0 0 0
AVD CRC cde63d74 3f2fb60a d08f6895; 0 0 0
AVD CRC fcbc420e a6a5be4d 2d99b335; 0 0 0
AVD CRC 88a30ad2 ffd42762 419639bd; 0 0 0
AVD CRC b663eb02 96c7f0bc 1418b14a; 0 0 0
AVD CRC e8e4dd4d c81e590e 2eb64b6b; 0 0 0
AVD CRC 8b620e85 ee714ce0 78433e9f; 0 0 0
AVD CRC 543b5e46 ba47ac58 9043c558; 0 0 0
AVD CRC c070f396 78b09927 ed4fd451; 0 0 0
AVD CRC 46732fc4 46b64d48 4bd9277c; 0 0 0
AVD CRC 4b7b1f6c 16e13987 13230ffb; 0 0 0
AVD CRC 754e2e49 a21fc26d 4315bd10; 0 0 0
AVD CRC 388d45ad 8854c2e7 1a4e07ef; 0 0 0
AVD CRC 61e71a2a b76a23af 819bedaa; 0 0 0
AVD CRC a839f48c 38e62c05 71bc96a; 0 0 0
AVD CRC b9b15d95 f68ce7c1 36466872; 0 0 0
AVD CRC ff977584 cabd74e1 c32e12a; 0 0 0
AVD CRC 2e722f7 f523fa2 838b6105; 0 0 0
AVD CRC 1e156022 f09724f5 b273b1e2; 0 0 0
AVD CRC fdf90cee 747dd322 94963730; 0 0 0
AVD CRC 968a683a 99c0e6e2 e837ac36; 0 0 0
AVD CRC 305edca d96a03d1 7a8eb7a0; 0 0 0
AVD CRC 75f481e0 a90b598c ebc993fe; 0 0 0
AVD CRC 2211dec1 6e513e23 cd8f3f12; 0 0 0
AVD CRC f0a5ffec 401409af 5baf8c72; 0 0 0
AVD CRC e73a3634 6317bcbc c8ee9b9e; 0 0 0
AVD CRC b8d6b583 ed07f869 ca6267ae; 0 0 0
AVD CRC 55f67bbf 631e6f50 13c663a; 0 0 0
AVD CRC 4b60b164 a709f25f 47f5cf0a; 0 0 0
AVD CRC fa6b0fee e6c67275 21c4c291; 0 0 0
AVD CRC 7ad50495 43c69112 9ad5de54; 0 0 0
AVD CRC 4fe8b750 faa2d7c2 ac045d6; 0 0 0
AVD CRC 5092d317 359dcd51 1dcaee16; 0 0 0
AVD CRC 4ce6dac0 7af55455 dc010928; 0 0 0
AVD CRC 716fda78 6e43322b 388dddd7; 0 0 0
AVD CRC 40859a6f e3899b3b 50067e33; 0 0 0
AVD CRC 4ca51d8d 6d877bd4 69fe82e6; 0 0 0
AVD CRC 69b2920a 322410ec a4521781; 0 0 0
AVD CRC 663a8220 a83d9a20 bc9cd1e9; 0 0 0
AVD CRC d119c65e 5992bacc 63724e71; 0 0 0
AVD CRC 37b562d9 2d9d80c1 7ad00227; 0 0 0
AVD CRC 4591bbc1 48ae9984 8744e7e0; 0 0 0
