video protocol: MPEG2
revision pre-S
AVD CRC fea671d 3fc58a3 3f9074d; 0 0 0
AVD CRC fec7351 3fc2365 3f8d516; 0 0 0
AVD CRC fecca28 3fc397a 3f8dd90; 0 0 0
AVD CRC fec1415 3fcb64e 3f904b9; 0 0 0
AVD CRC fec65bb 3fd9271 3f886ae; 0 0 0
AVD CRC fec33a6 3fdfe49 3f85896; 0 0 0
AVD CRC fec6bb9 3fd8127 3f89131; 0 0 0
AVD CRC fece3cc 3fd64f0 3f7e375; 0 0 0
AVD CRC fedb4bb 3fd327f 3f7489b; 0 0 0
AVD CRC fed09b9 3fca287 3f6d026; 0 0 0
AVD CRC fee94b8 3fce28e 3f6236f; 0 0 0
AVD CRC fee0b59 3fd6e51 3f5a4c8; 0 0 0
AVD CRC fefbce4 3fb96ac 3f550f1; 0 0 0
AVD CRC fedf813 3fabb84 3f47beb; 0 0 0
AVD CRC fed6f6d 3fd243e 3f35f73; 0 0 0
AVD CRC fec59e2 3fffe72 3f30295; 0 0 0
AVD CRC fed50f3 400ebec 3f28360; 0 0 0
AVD CRC fef725c 40266a3 3f1e0c8; 0 0 0
AVD CRC fedd34f 4043805 3f225ae; 0 0 0
AVD CRC febac0a 403a854 3f1dea7; 0 0 0
AVD CRC fe94475 401f846 3f14045; 0 0 0
AVD CRC fe79c95 4022ad0 3f180ea; 0 0 0
AVD CRC fe80dfc 401eed3 3f180ff; 0 0 0
AVD CRC fe57833 3ffd739 3f0b57c; 0 0 0
AVD CRC fe5b303 3ffdb07 3f0b7c3; 0 0 0
AVD CRC fe534f6 3fe7de7 3f10752; 0 0 0
AVD CRC fe21278 3fd7fc0 3f11a1b; 0 0 0
AVD CRC fdce92d 3fd7046 3f0a994; 0 0 0
AVD CRC fdb9a5a 3fd1a0c 3f060d7; 0 0 0
AVD CRC fd94fbb 3fb0815 3eff262; 0 0 0
AVD CRC fd9d93c 3fa61b1 3ef54fa; 0 0 0
AVD CRC fd99b4d 3faa93f 3ef74ce; 0 0 0
AVD CRC fd7dabd 3fa88af 3ef19da; 0 0 0
AVD CRC fdc66c7 3fa4476 3ee9b93; 0 0 0
AVD CRC fdb90d4 3fa279a 3ee7d62; 0 0 0
AVD CRC fe0e28f 3fa15c1 3eeb791; 0 0 0
AVD CRC fe369b3 3fa2b37 3ef18cc; 0 0 0
AVD CRC fe71749 3fa2012 3ef7b1e; 0 0 0
AVD CRC fe8fdab 3f90366 3f21f8d; 0 0 0
AVD CRC fe9a311 3f89b00 3f284e9; 0 0 0
AVD CRC fe90cda 3f8b2cd 3f2ce65; 0 0 0
AVD CRC ff26e78 3f852c9 3f3e802; 0 0 0
AVD CRC ff3df85 3f79235 3f267d9; 0 0 0
AVD CRC ff43a40 3f70c90 3f14913; 0 0 0
AVD CRC ff2efce 3f73782 3f235e6; 0 0 0
AVD CRC ff29669 3f638cc 3f1d1db; 0 0 0
AVD CRC ff24bce 3f605c5 3f25178; 0 0 0
AVD CRC ff37d72 3f5a305 3f3636e; 0 0 0
AVD CRC ff51093 3f56aa3 3f37a1d; 0 0 0
AVD CRC ff69896 3f651b0 3f38a9a; 0 0 0
AVD CRC ff463d4 3f658c3 3f3e058; 0 0 0
AVD CRC ff56a0a 3f57028 3f2f9ad; 0 0 0
AVD CRC ff68fe5 3f576da 3f30c4f; 0 0 0
AVD CRC ffa15c7 3f5c734 3f288b2; 0 0 0
AVD CRC ff9bab7 3f614ad 3f25b0f; 0 0 0
AVD CRC ff941ab 3f80073 3f297ab; 0 0 0
AVD CRC ffac201 3f8df9d 3f1e423; 0 0 0
AVD CRC ffaacd4 3f8fdb0 3f1113c; 0 0 0
AVD CRC ff80ec9 3fa7dc2 3f0ede0; 0 0 0
AVD CRC ff89cf5 3faf283 3f06996; 0 0 0
AVD CRC ff60fee 3faab74 3efe6b3; 0 0 0
AVD CRC ff491a8 3fa5e5e 3effccc; 0 0 0
AVD CRC ff2e9e4 3f9675e 3f01b93; 0 0 0
AVD CRC ff3bead 3f861de 3ef937a; 0 0 0
AVD CRC ff23bc2 3f9d5ac 3efe1a9; 0 0 0
AVD CRC ff2e0c1 3fa750c 3efaedb; 0 0 0
AVD CRC ff2b788 3fa33e6 3ef4d05; 0 0 0
AVD CRC ff33147 3f9fe0c 3ef9343; 0 0 0
AVD CRC fee7b4e 3fb5796 3ef42e4; 0 0 0
AVD CRC febe309 3f90090 3ef0340; 0 0 0
AVD CRC feb0dd1 3fc51e0 3ef6598; 0 0 0
AVD CRC fe08f9f 3fd8d88 3eeb416; 0 0 0
AVD CRC fe1ad5b 3ffaace 3eeec20; 0 0 0
AVD CRC fe3cd77 400583c 3edbbba; 0 0 0
AVD CRC fe219fd 400dffb 3edfc2d; 0 0 0
AVD CRC fe30324 4014486 3ede0fd; 0 0 0
AVD CRC fe34d0b 400c9cb 3edd46b; 0 0 0
AVD CRC fe3805e 4015b88 3ee2555; 0 0 0
AVD CRC ff1f727 3f823fe 3f34fb0; 0 0 0
AVD CRC fec1042 3fb40ad 3f328db; 0 0 0
AVD CRC fdb7289 3fb2c71 3f2fcd8; 0 0 0
AVD CRC fc88e28 3fcf69a 3f31bbd; 0 0 0
AVD CRC fc5852d 3fd3b5d 3f3326f; 0 0 0
AVD CRC fceb4b9 3fde161 3f42670; 0 0 0
AVD CRC fd61ae3 3fc05d3 3f596f2; 0 0 0
AVD CRC fd23caa 3fb4c79 3f62d73; 0 0 0
AVD CRC fd74334 3fb7a42 3f8344e; 0 0 0
AVD CRC fd6b127 3fce713 3f612dd; 0 0 0
AVD CRC fd4caa4 3fc880c 3f52c8c; 0 0 0
AVD CRC fdabd34 3fc4ee5 3f5d6fb; 0 0 0
AVD CRC fee4c7e 3fabdad 3f57beb; 0 0 0
AVD CRC fe9b025 3fa8bb2 3f709ee; 0 0 0
AVD CRC fdf8421 3f84512 3f8954f; 0 0 0
AVD CRC fd861cb 3f8fada 3f7b197; 0 0 0
AVD CRC fd512e1 3fafba5 3f5d80e; 0 0 0
AVD CRC fd4fc19 3fce7bc 3f5285f; 0 0 0
AVD CRC fd895c0 3fefd5e 3f5438d; 0 0 0
AVD CRC fe2ef9c 3fde5e3 3f61e81; 0 0 0
AVD CRC fe8b51c 3fcb671 3f68945; 0 0 0
AVD CRC fdb4422 3fbcb4a 3f70bae; 0 0 0
AVD CRC fe0c0bb 3fd0b46 3f6b2d7; 0 0 0
AVD CRC fe40df4 3fc2326 3f683a3; 0 0 0
AVD CRC fec6dd0 3fbffec 3f57a76; 0 0 0
AVD CRC ffb2b7c 3f991b7 3f47ac7; 0 0 0
AVD CRC 10068f62 3f76628 3f5907a; 0 0 0
AVD CRC 1007e946 3f6d876 3f6a5ed; 0 0 0
AVD CRC 1003094d 3f833ea 3f6f459; 0 0 0
AVD CRC ff59bb0 3f8ad10 3f6b237; 0 0 0
AVD CRC ff060dd 3fb467e 3f62cba; 0 0 0
