SROM fields,,,,,BCM943431 P151,
Byte Offset,,Word Offset,,Description,Value,Explanation
Dec,Hex,Dec,Hex,,Hex,
348,15C,174,AE,legofdmbw205ghpo,0x0000,"5G band high subband: OFDM power offsets for 20 MHz Legacy rates (54, 48, 36, 24, 18, 12, 9, 6 Mbps)"
350,15E,175,AF,(legofdmbw205ghpo),0x0000,
352,160,176,B0,legofdmbw20ul5ghpo,0x0000,"5G band high subband: OFDM power offsets for 20 U/L Legacy rates (54, 48, 36, 24, 18, 12, 9, 6 Mbps)"
354,162,177,B1,(legofdmbw20ul5ghpo),0x0000,
356,164,178,B2,mcsbw202gpo,0x0000,"2G band: mcs 0-7 20 MHz power-offset. LSB nibble: m0, MSB nibble: m7"
358,166,179,B3,(mcsbw202gpo),0x0000,
360,168,180,B4,mcsbw20ul2gpo,0x0000,"2G band: mcs 0-7 20 U/L power-offset. LSB nibble: m0, MSB nibble: m7"
362,16A,181,B5,(mcsbw20ul2gpo),0x0000,
364,16C,182,B6,mcsbw402gpo,0x0000,"2G band: mcs 0-7 40 MHz power-offset. LSB nibble: m0, MSB nibble: m7"
366,16E,183,B7,(mcsbw402gpo),0x0000,
368,170,184,B8,mcsbw205glpo,0x0000,"5G band low subband: mcs 0-7 20 MHz power-offset. LSB nibble: m0, MSB nibble: m7"
370,172,185,B9,(mcsbw205glpo),0x0000,
372,174,186,BA,mcsbw20ul5glpo,0x0000,"5G band low subband: mcs 0-7 20 U/L power-offset. LSB nibble: m0, MSB nibble: m7"
374,176,187,BB,(mcsbw20ul5glpo ),0x0000,
376,178,188,BC,mcsbw405glpo,0x0000,"5G band low subband: mcs 0-7 40 MHz power-offset. LSB nibble: m0, MSB nibble: m7"
378,17A,189,BD,(mcsbw405glpo),0x0000,
380,17C,190,BE,mcsbw205gmpo,0x0000,"5G band mid subband: mcs 0-7 20 MHz power-offset. LSB nibble: m0, MSB nibble: m7"
382,17E,191,BF,(mcsbw205gmpo),0x0000,
384,180,192,C0,mcsbw20ul5gmpo,0x0000,"5G band mid subband: mcs 0-7 20 U/L power-offset. LSB nibble: m0, MSB nibble: m7"
386,182,193,C1,(mcsbw20ul5gmpo ),0x0000,
388,184,194,C2,mcsbw405gmpo,0x0000,"5G band mid subband: mcs 0-7 40 MHz power-offset. LSB nibble: m0, MSB nibble: m7"
390,186,195,C3,(mcsbw405gmpo ),0x0000,
392,188,196,C4,mcsbw205ghpo,0x0000,"5G band high subband: mcs 0-7 20 MHz power-offset. LSB nibble: m0, MSB nibble: m7"
394,18A,197,C5,(mcsbw205ghpo ),0x0000,
396,18C,198,C6,mcsbw20ul5ghpo,0x0000,"5G band high subband: mcs 0-7 20 U/L power-offset. LSB nibble: m0, MSB nibble: m7"
398,18E,199,C7,(mcsbw20ul5ghpo),0x0000,
400,190,200,C8,mcsbw405ghpo,0x0000,"5G band high subband: mcs 0-7 40 MHz power-offset. LSB nibble: m0, MSB nibble: m7"
402,192,201,C9,(mcsbw405ghpo),0x0000,
404,194,202,CA,"mcs325ghpo, mcs325gmpo, mcs325glpo, mcs322gpo",0x0000,"mcs-32 power offset for each band/subband. LSB nibble: 2G band, MSB nibble: 5G band high subband.,unsigned 4 bits for each"
406,196,203,CB,"leg40dup5ghpo, leg40dup5gmpo, leg40dup5glpo, leg40dup2gpo",0x0000,"Additional power offset for Legacy Dup40 transmissions. Applied in addition to legofdmbw20ulXpo, X=2g, 5gl, 5gm, or 5gh. LSB nibble: 2G band, MSB nibble: 5G band high subband."
408,198,204,CC,reserved,0xFFFF,
410,19A,205,CD,reserved,0xFFFF,
412,19C,206,CE,reserved,0xFFFF,
414,19E,207,CF,reserved,0xFFFF,
416,1A0,208,D0,reserved,0xFFFF,
418,1A2,209,D1,reserved,0xFFFF,
420,1A4,210,D2,reserved,0xFFFF,
422,1A6,211,D3,reserved,0xFFFF,
424,1A8,212,D4,reserved,0xFFFF,
426,1AA,213,D5,reserved,0xFFFF,
428,1AC,214,D6,reserved,0xFFFF,
430,1AE,215,D7,reserved,0xFFFF,
432,1B0,216,D8,reserved,0xFFFF,
434,1B2,217,D9,reserved,0xFFFF,
436,1B4,218,DA,reserved,0xFFFF,
438,1B6,219,DB,CRC/sromrev,0xXX09,Rev 9
