2534
6.8 1
0.61 0.69 1.0
0.67 0.75 1.0
0.79 0.84 1.0
0.97 0.97 1.0
1.0 0.96 0.92
1.0 0.82 0.63
1.0 0.8 0.44
1.805 -0.399255 5.3 B3
0.359837 -0.728712 5.3 K0
0.871202 0.855842 5.3 B3
1.69553 -0.876208 5.3 F2
0.435359 0.349523 5.3 G5
3.14623 -0.735728 5.3 F0
2.60369 -0.622228 5.3 F0
3.13414 -0.338255 5.3 B3
2.57021 0.429924 5.3 A2
2.38948 0.543985 5.3 M6
1.26932 1.41575 5.3 K0
4.83602 -0.799251 5.3 B5
5.22121 -0.607972 5.3 A3
1.41516 0.601008 5.3 K0
1.94319 0.122965 5.3 A5
0.113356 -0.701463 5.3 K5
1.46516 -0.50123 5.3 F2
1.39267 1.00354 5.3 A0
0.432036 1.22821 5.3 A0
1.4148 0.31278 5.3 B3
0.694221 -0.955801 5.3 F2
5.48284 0.0715706 5.3 F5
1.45035 0.419024 5.3 B3
5.60387 -1.2169 5.3 MB
1.76213 0.8525 5.3 K0
1.52259 -0.131423 5.3 B3
0.380009 0.815942 5.3 G5
1.44419 -0.0207644 5.3 B2
1.63342 0.173875 5.3 A2
3.84541 -1.09369 5.3 A5
3.44056 -0.752286 5.3 K0
6.21265 0.0560141 5.3 N0
4.52967 0.446579 5.3 A2
3.00847 -1.03392 5.3 A2
1.50672 0.112367 5.3 A3
2.76837 -1.03505 5.3 K0
0.231885 -1.21819 5.3 K0
2.82146 0.188675 5.3 A0
1.1588 0.283609 5.3 G5
4.83837 -0.693603 5.3 A2
3.378 -0.888865 5.3 B8
5.04399 0.0173277 5.3 K0
1.05195 0.0924864 5.3 B3
5.39515 -0.264095 5.3 B5
3.63086 -0.0219544 5.3 K0
1.70449 -0.657248 5.3 G5
2.40219 0.757914 5.3 B8
4.50413 -0.463032 5.3 K0
4.50413 -0.463057 5.3 K0
0.034072 -1.43993 5.3 K0
1.01385 0.832982 5.3 B5
1.45382 -0.0852961 5.3 F0
1.54345 -0.918841 5.3 A5
1.85149 -0.195751 5.3 B3
2.98253 -1.11171 5.3 F5
1.76154 -0.257293 5.3 A2
3.03589 -1.07424 5.3 A0
2.02583 0.585386 5.3 K2
2.00839 0.882335 5.3 A0
0.33562 1.01176 5.3 F5
2.19961 -0.732842 5.3 B3
1.77454 -0.263317 5.3 B5
1.6784 0.00577374 5.3 K0
1.11984 0.377941 5.3 A0
2.73672 -1.11554 5.3 K5
1.22823 -0.882693 5.3 G5
1.45176 -1.12156 5.3 G5
5.14965 0.204335 5.3 ++
1.76815 -0.156076 5.3 K5
4.72951 0.387687 5.3 M0
1.05401 1.40613 5.3 ++
0.119894 0.514457 5.3 F0
3.22591 -1.17364 5.3 A5
1.84732 -0.989135 5.3 A0
5.24881 0.346387 5.3 K0
4.99423 -1.19563 5.3 K0
0.726479 0.3012 5.3 B5
1.96132 0.0352893 5.3 A5
1.44058 -0.0283888 5.3 B2
1.62549 0.282051 5.3 B9
2.03337 -0.811291 5.3 B2
1.63829 -0.293142 5.3 K0
3.73574 -1.06539 5.3 A3
1.9721 0.542298 5.3 K0
2.90143 -0.739469 5.3 A2
5.52265 -0.373426 5.3 A0
0.840441 0.885824 5.3 K0
6.11106 0.21013 5.3 K0
3.50471 -0.689314 5.3 K0
2.7278 1.44538 5.3 F2
0.184422 -0.388872 5.3 A5
1.64091 -0.348128 5.3 B3
5.61822 0.808426 5.3 K0
2.02248 0.190095 5.3 A0
5.39833 -0.319675 5.3 M0
6.20294 -0.323838 5.3 B8
1.6976 -0.215635 5.3 K0
2.11662 -0.356201 5.3 A3
0.526559 1.32429 5.3 G5
1.84333 -0.737619 5.3 A2
1.62885 1.07398 5.3 M0
3.05097 -0.562374 5.3 K5
4.93115 0.372865 5.3 B9
4.57198 -0.0178517 5.3 G5
2.71174 -1.16323 5.3 B8
1.91045 1.52064 5.3 M0
3.35438 1.46057 5.3 A2
5.66722 -0.249085 5.3 G5
6.2342 -0.33488 5.3 A0
6.18726 -0.564609 5.3 K0
1.06426 0.503838 5.3 F0
5.77706 0.781394 5.3 K5
3.4264 -0.182797 5.3 K0
4.1354 0.0409751 5.3 K0
1.14719 0.546775 5.3 K0
6.18155 0.876062 5.3 B9
1.88302 1.04247 5.3 K0
1.7701 -0.893758 5.3 K2
5.97717 0.167013 5.3 F5
0.950309 1.10055 5.3 M0
2.84071 -0.346782 5.3 F5
4.07035 1.35292 5.3 K5
5.68253 -0.162544 5.3 K0
2.33765 -1.03037 5.3 B3
5.91303 -0.0783041 5.3 K0
2.75602 -0.409924 5.3 K2
0.437183 -0.0687896 5.3 G5
0.264286 -0.814473 5.3 K0
2.99491 0.691366 5.3 A2
4.27868 0.590249 5.3 K5
1.76996 -0.661017 5.3 B9
1.92284 0.711581 5.3 K0
5.89904 -0.365908 5.3 F5
2.03735 -0.432598 5.3 G0
3.98107 0.512234 5.3 A0
5.02971 -0.795091 5.3 K0
5.5408 -0.691673 5.3 F5
3.19143 -0.793181 5.3 K0
6.0933 -0.239655 5.3 G5
2.37379 1.1707 5.3 K5
4.90546 -0.706184 5.3 G0
1.12472 0.261401 5.3 F0
3.73871 0.230978 5.3 F0
0.328196 0.0584987 5.3 A2
1.52927 1.0451 5.3 A0
0.744144 0.665585 5.3 F0
0.435839 -0.568602 5.3 K0
0.851092 0.873375 5.3 B3
3.26346 1.21262 5.3 M0
6.05413 0.166691 5.3 B8
4.92486 -0.910488 5.3 K0
3.37499 1.14684 5.3 F0
6.02887 -0.946554 5.3 K5
3.51833 -0.888493 5.3 A2
3.94371 -0.280373 5.3 K0
0.59361 0.495898 5.3 A2
4.37038 -1.1697 5.3 A0
3.33423 0.294092 5.3 K2
1.33014 0.355247 5.3 A3
5.11842 0.738312 5.3 A2
1.74338 -0.159132 5.3 K5
4.31265 0.359316 5.3 G5
4.85315 -0.192298 5.3 G5
2.32421 0.49078 5.3 G5
1.89113 -0.534033 5.3 B5
1.20412 0.924715 5.3 K0
4.96424 0.456579 5.3 K0
3.9296 -1.11417 5.2 G5
3.05922 -1.0858 5.2 F8
1.33626 -0.0788825 5.2 F5
3.9827 -0.720943 5.2 ++
2.59456 0.720728 5.2 F5
3.73596 -1.39417 5.2 B5
2.01326 -0.786191 5.2 G5
0.362856 -0.259328 5.2 G5
1.50482 0.242306 5.2 B5
3.24365 0.685841 5.2 K0
4.9697 0.880725 5.2 B3
1.48305 0.0253421 5.2 G5
5.3738 0.224358 5.2 A2
1.69562 -0.991663 5.2 K0
1.34029 -1.10763 5.2 MB
1.78265 0.380865 5.2 A0
1.26406 0.247295 5.2 M0
4.5296 0.316029 5.2 M0
3.46575 0.169033 5.2 G0
1.25637 -0.284536 5.2 K0
2.51078 -1.40878 5.2 B3
3.07765 0.148766 5.2 A0
4.22336 -0.511136 5.2 K0
1.17505 -0.786448 5.2 B3
1.93037 -0.281029 5.2 B3
4.59091 1.18974 5.2 K0
3.57349 -0.147505 5.2 M0
3.7392 -0.0355214 5.2 K0
0.0806335 0.657847 5.2 F5
1.57622 -0.458724 5.2 G5
4.0648 -0.486598 5.2 K0
0.420361 0.77026 5.2 G5
3.59545 -0.628361 5.2 A0
4.95303 0.573098 5.2 G0
2.3845 0.388316 5.2 G5
4.28733 -0.40725 5.2 B5
5.02101 0.990883 5.2 K0
5.46475 0.486362 5.2 K5
5.50464 -0.958644 5.2 K0
1.82983 0.423915 5.2 K0
6.09277 -0.172515 5.2 A0
2.49761 -0.890681 5.2 B3
5.92047 1.10522 5.2 A2
5.09657 -0.0505192 5.2 M0
5.18638 0.179581 5.2 G0
3.01254 -0.537754 5.2 M0
0.636663 -0.594009 5.2 A2
4.40556 0.431781 5.2 K0
1.91422 0.643268 5.2 K0
0.111405 0.770008 5.2 A2
5.71845 -0.240647 5.2 F0
5.77531 1.08274 5.2 OE
5.99896 0.84503 5.2 B3
6.18367 -0.253046 5.2 A5
3.89077 -1.04563 5.2 K0
0.760288 0.553866 5.2 A0
4.73475 0.533261 5.2 F8
2.49104 -0.364662 5.2 K0
3.16415 -1.31055 5.2 K0
5.18962 0.922589 5.2 K2
2.07821 -0.793112 5.2 K5
0.121646 -0.419997 5.2 A3
4.70967 0.37689 5.2 G5
5.43313 0.596718 5.2 K0
0.768726 -0.0520261 5.2 A2
3.85504 -0.910596 5.2 K0
2.79042 1.21018 5.2 K0
3.71515 -0.992272 5.2 B3
1.57295 0.343712 5.2 B8
2.2895 -0.0298933 5.2 A0
2.73553 -0.0433288 5.2 B9
2.17931 -0.633978 5.2 B3
2.26231 -0.699627 5.2 B9
0.142562 -0.0675069 5.2 G0
0.605862 0.97072 5.2 A2
2.25031 -0.455163 5.2 A0
3.64646 -0.431601 5.2 B8
3.94814 0.955534 5.2 G5
1.45266 -0.0950755 5.2 B1
0.211244 -0.894646 5.2 F5
1.61032 -1.20136 5.2 B9
5.76927 -0.0200544 5.2 A3
0.0401194 -0.618072 5.2 F5
2.41211 -0.966248 5.2 K0
3.28393 0.32554 5.2 K0
0.505792 1.12363 5.2 A0
3.28584 -0.711164 5.2 A5
3.28393 0.32554 5.2 K0
2.33203 0.270799 5.2 A3
4.547 -0.882964 5.2 K0
2.08109 -0.404451 5.2 G5
3.11307 -0.294479 5.2 A0
1.76527 -0.25082 5.2 B8
6.15869 0.541911 5.2 K2
5.39612 0.172943 5.2 G5
2.27812 -0.866402 5.2 B2
1.14032 -1.10837 5.2 K0
0.500097 0.30673 5.2 G5
3.28396 1.22692 5.2 K0
0.498849 -0.397416 5.2 K5
3.98831 1.17873 5.2 G0
5.91027 1.28078 5.2 F0
1.13965 -0.0673637 5.2 A2
2.34823 -1.02785 5.2 F0
2.99047 0.0546604 5.2 K0
2.30307 -0.568852 5.2 G5
0.207788 -0.190472 5.2 F5
3.64026 0.484094 5.2 K0
1.75654 -0.541366 5.2 B3
6.09903 0.0891536 5.2 K0
4.65948 0.886489 5.2 A2
0.707865 0.213568 5.2 A3
2.59851 0.22138 5.2 A0
1.38193 0.591802 5.2 A5
5.97676 0.7513 5.2 K5
3.32961 0.138691 5.2 A5
5.30898 0.607819 5.2 F5
5.07273 0.206577 5.2 G5
6.26126 -1.12706 5.2 A2
1.40172 0.651719 5.2 K5
2.19953 -0.899953 5.2 B3
0.860113 -1.09426 5.2 G0
5.53654 1.19183 5.2 M6
1.37129 1.38193 5.2 F8
2.30645 0.766447 5.2 G5
2.79451 -1.12058 5.2 B3
4.14744 -1.19479 5.2 K0
2.58531 -0.327628 5.2 M0
1.99225 0.310495 5.2 K5
5.12726 0.778126 5.2 G5
5.57779 1.12852 5.2 B3
0.313638 -0.142962 5.2 F0
2.21558 -0.777664 5.2 B5
4.82487 -1.52983 5.2 K0
1.40156 -0.243871 5.2 B3
1.9844 -0.069778 5.2 F5
2.5745 -0.137335 5.2 A2
0.8654 0.365964 5.2 B3
2.08439 -0.683451 5.2 F0
5.49532 0.802131 5.2 B3
1.91549 0.358485 5.2 K2
2.27 -0.789426 5.2 B5
4.24512 -1.37088 5.2 K5
